MarysF	7065	1880
AnnasF	2604	1880
EmmasF	2003	1880
ElizabethsF	1939	1880
MinniesF	1746	1880
MargaretsF	1578	1880
IdasF	1472	1880
AlicesF	1414	1880
BerthasF	1320	1880
SarahsF	1288	1880
JohnsM	9655	1880
WilliamsM	9532	1880
JamessM	5927	1880
CharlessM	5348	1880
GeorgesM	5126	1880
FranksM	3242	1880
JosephsM	2632	1880
ThomassM	2534	1880
HenrysM	2444	1880
RobertsM	2415	1880
MarysF	6919	1881
AnnasF	2698	1881
EmmasF	2034	1881
ElizabethsF	1852	1881
MargaretsF	1658	1881
MinniesF	1653	1881
IdasF	1439	1881
AnniesF	1326	1881
BerthasF	1324	1881
AlicesF	1308	1881
JohnsM	8769	1881
WilliamsM	8524	1881
JamessM	5441	1881
GeorgesM	4664	1881
CharlessM	4636	1881
FranksM	2834	1881
JosephsM	2456	1881
HenrysM	2339	1881
ThomassM	2282	1881
EdwardsM	2177	1881
MarysF	8148	1882
AnnasF	3143	1882
EmmasF	2303	1882
ElizabethsF	2186	1882
MinniesF	2004	1882
MargaretsF	1821	1882
IdasF	1673	1882
AlicesF	1542	1882
BerthasF	1508	1882
AnniesF	1492	1882
JohnsM	9557	1882
WilliamsM	9298	1882
JamessM	5892	1882
GeorgesM	5193	1882
CharlessM	5091	1882
FranksM	3176	1882
JosephsM	2670	1882
ThomassM	2610	1882
HenrysM	2579	1882
RobertsM	2500	1882
MarysF	8012	1883
AnnasF	3306	1883
EmmasF	2367	1883
ElizabethsF	2255	1883
MinniesF	2035	1883
MargaretsF	1881	1883
BerthasF	1681	1883
IdasF	1634	1883
AnniesF	1589	1883
ClarasF	1548	1883
JohnsM	8894	1883
WilliamsM	8387	1883
JamessM	5223	1883
CharlessM	4826	1883
GeorgesM	4736	1883
FranksM	2986	1883
JosephsM	2515	1883
HenrysM	2383	1883
RobertsM	2334	1883
ThomassM	2316	1883
MarysF	9217	1884
AnnasF	3860	1884
EmmasF	2587	1884
ElizabethsF	2549	1884
MinniesF	2243	1884
MargaretsF	2142	1884
IdasF	1882	1884
ClarasF	1852	1884
BerthasF	1789	1884
AnniesF	1739	1884
JohnsM	9388	1884
WilliamsM	8897	1884
JamessM	5693	1884
GeorgesM	4961	1884
CharlessM	4802	1884
FranksM	3218	1884
JosephsM	2707	1884
ThomassM	2572	1884
HenrysM	2474	1884
RobertsM	2468	1884
MarysF	9128	1885
AnnasF	3994	1885
EmmasF	2728	1885
ElizabethsF	2582	1885
MargaretsF	2204	1885
MinniesF	2178	1885
ClarasF	1910	1885
BerthasF	1860	1885
IdasF	1854	1885
AnniesF	1703	1885
JohnsM	8756	1885
WilliamsM	8044	1885
JamessM	5175	1885
GeorgesM	4674	1885
CharlessM	4599	1885
FranksM	3067	1885
JosephsM	2540	1885
HenrysM	2406	1885
RobertsM	2322	1885
ThomassM	2266	1885
MarysF	9889	1886
AnnasF	4283	1886
EmmasF	2764	1886
ElizabethsF	2680	1886
MinniesF	2372	1886
MargaretsF	2275	1886
IdasF	2049	1886
BerthasF	2001	1886
ClarasF	1916	1886
FlorencesF	1860	1886
JohnsM	9026	1886
WilliamsM	8252	1886
JamessM	5355	1886
GeorgesM	4671	1886
CharlessM	4533	1886
FranksM	3127	1886
JosephsM	2594	1886
RobertsM	2443	1886
HenrysM	2404	1886
ThomassM	2337	1886
MarysF	9888	1887
AnnasF	4227	1887
ElizabethsF	2681	1887
EmmasF	2647	1887
MargaretsF	2419	1887
MinniesF	2215	1887
BerthasF	2037	1887
ClarasF	1984	1887
FlorencesF	1964	1887
IdasF	1929	1887
JohnsM	8110	1887
WilliamsM	7470	1887
JamessM	4768	1887
GeorgesM	4284	1887
CharlessM	4031	1887
FranksM	2883	1887
JosephsM	2456	1887
HenrysM	2228	1887
